alpha_neural,variant,seed,accuracy,balanced_accuracy,macro_f1_13,regional_macro_f1,weighted_f1,mcc,ece_15,brier,worst_present_dialect_f1,examples
0.275,M0,2903,0.8712639187341278,0.7866150781152613,0.801382615568898,0.7913685231881452,0.8698854135499575,0.8515007331904468,0.035953954424311395,0.18707828253834216,0.4233576642335766,10238.0
0.275,M0,4307,0.8726313733151007,0.7849937894352959,0.802027815031432,0.7919403893609743,0.8710710374115208,0.8530362046901913,0.03460450195495453,0.18679870561128292,0.40298507462686567,10238.0
0.275,M1,1701,0.8706778667708537,0.7878659937751203,0.8022330794572052,0.7923120599302672,0.8694381158469789,0.8508289454796477,0.03321071041407984,0.1866417816630854,0.42857142857142855,10238.0
0.275,M1,2903,0.8702871654620044,0.7839844630697841,0.8002815292385361,0.7901369589873025,0.8688813149858099,0.8503554447215348,0.03291079677159292,0.18681695856363983,0.40875912408759124,10238.0
0.275,M1,4307,0.870482516116429,0.7884108504756414,0.8026126267072122,0.7927705774710144,0.8693331542708723,0.8505936857360732,0.033377975542779756,0.1878178680821179,0.43356643356643354,10238.0
0.30000000000000004,M0,1701,0.8711662434069154,0.7890589024360369,0.8045740933110213,0.7948287764498835,0.8701054111558854,0.8513926712234625,0.03884539202969655,0.18740779371020327,0.4520547945205479,10238.0
0.30000000000000004,M0,2903,0.8722406720062512,0.787860336313263,0.8031420153403226,0.7932358189309044,0.8708041713237267,0.8526145739275457,0.03801012262274461,0.186060071999345,0.4264705882352941,10238.0
0.30000000000000004,M0,4307,0.8737058019144364,0.7855534201872476,0.8033452364741839,0.7932710143594446,0.872090148740635,0.8542694168694368,0.03609325621494096,0.18573507606217934,0.40601503759398494,10238.0
0.30000000000000004,M1,1701,0.8726313733151007,0.7911152967656493,0.8053402391623242,0.7955592947862429,0.8714534959913928,0.8530962505378964,0.03647417793308475,0.18557680424202325,0.44285714285714284,10238.0
0.30000000000000004,M1,2903,0.8717522953701895,0.7867541558524656,0.8041125169124701,0.7942043460570881,0.8703736728158881,0.8520469573582997,0.03530975926553702,0.18578656834852106,0.42962962962962964,10238.0
0.30000000000000004,M1,4307,0.8723383473334636,0.7899891517265006,0.8042583269891146,0.794508908535223,0.871148748776519,0.852725766968081,0.036224123903034956,0.1868182204142852,0.4305555555555556,10238.0
0.325,M0,1701,0.8716546200429771,0.7902899529744959,0.8056657126167734,0.7958814450784276,0.8705932792374474,0.8519623331359718,0.04018393202886117,0.18663507585736291,0.46258503401360546,10238.0
0.325,M0,2903,0.8721429966790388,0.7882253427709572,0.8033566597456324,0.79339654224131,0.8706447121233185,0.8524951230801706,0.039868869032053215,0.18520113419281028,0.42962962962962964,10238.0
0.325,M0,4307,0.875854659113108,0.788316981727524,0.8063127623990339,0.7963509686359188,0.8741529790714164,0.8567458889276878,0.038841239002880994,0.18482738542456684,0.4090909090909091,10238.0
0.325,M1,1701,0.873315100605587,0.7925856582444557,0.8075688439852402,0.7978296903680057,0.8720868925019232,0.853875733063893,0.03716248417072874,0.18466991872270455,0.463768115942029,10238.0
0.325,M1,2903,0.8724360226606759,0.7873022844736446,0.8047138144886042,0.7948474608499833,0.8710297488881343,0.8528351675941493,0.0367732323821042,0.18491738037400662,0.4264705882352941,10238.0
0.325,M1,4307,0.8734127759327994,0.7913278158571921,0.8063755725104719,0.7966753487931607,0.8722499839598314,0.8539599777463965,0.038500417990994434,0.18596973344920334,0.4413793103448276,10238.0
0.35000000000000003,M0,1701,0.8724360226606759,0.7927368661631895,0.8079993134614413,0.7983570148705845,0.8714163201125753,0.8528546999291313,0.042051563513198394,0.18601761686177312,0.48322147651006714,10238.0
