variant,seed,step,selected,rows,corpus_chrfpp,macro_chrfpp,worst_dialect_chrfpp,corpus_sacrebleu,macro_sacrebleu,corpus_ter,cer,wer,exact_match,chrf_signature,bleu_signature,ter_signature,replay_nll,baseline_replay_nll,replay_relative_degradation,replay_guard_pass
M1,1701,39,False,4289,43.856677544595144,40.43853516423715,30.596136340897562,20.811090665722908,18.100778355955185,72.95864676306661,0.5746236398867194,0.7477836151699229,0.08440195849848449,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.814077358683951,3.77852050017331,0.009410259520627129,True
M1,1701,78,False,4289,44.48328901438388,41.25793628449169,31.513962888167796,21.59662232339301,19.319749979853285,73.64461940211248,0.5736324340438217,0.7364143818748974,0.0916297505245978,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.8338964394397936,3.77852050017331,0.014655455558318042,True
M1,2903,117,False,4289,45.46585902524934,41.784807573004755,29.83499682321143,22.680702539193007,20.038593111611334,70.96698756674591,0.5506260247428827,0.7136759152848465,0.09466076008393565,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.846076502407496,3.7726480393540287,0.019463374872902284,True
M1,2903,156,False,4289,45.98091796854382,41.66299428128383,30.62688781243764,23.180608944700698,19.10465976372634,68.89737693417001,0.5283946936950366,0.6952060417008701,0.09256236885054792,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.833461093580813,3.7726480393540287,0.016119461341852936,True
M1,2903,195,False,4289,45.380766702074965,41.51651961611608,29.579633670771237,21.734363721879184,18.86184987052578,75.39852671785478,0.5876881800566404,0.7416269906419307,0.09815807880624854,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.838229543219741,3.7726480393540287,0.017383414297226896,True
M1,2903,232,True,4289,46.22702463709775,41.801767369176716,31.5036793390804,22.895572407012242,19.120732693267875,71.32166660170714,0.5372857355790729,0.7075603349203743,0.09349498717649801,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.8369798577048257,3.7726480393540287,0.017052165396751917,True
M1,2903,39,False,4289,44.41946018967648,40.774955011198344,29.42842455783708,22.22899541265236,18.962506750367872,69.44693455976928,0.5304367267849158,0.7060827450336562,0.08556773140592212,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.813963132857873,3.7726480393540287,0.010951218632872628,True
M1,2903,78,False,4289,43.30847561585286,39.71101798603317,28.84631699180509,20.53303715848056,17.36330585000288,75.98706006158163,0.586495751974959,0.7465112461008044,0.08486826766145955,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.882331462174349,3.7726480393540287,0.02907332506933269,True
M1,4307,117,False,4289,44.964007955394955,41.38356666461644,31.002302566411455,21.839211869015646,19.13767007647126,72.16354211326343,0.5619988075719183,0.7252503693974717,0.09209605968757287,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.889817475278396,3.7757162242364393,0.030219763421185375,True
M1,4307,156,False,4289,45.19388444392172,41.28408370581144,29.8671298855277,21.956293026499242,18.611900966139157,72.77546088786686,0.5644060217618125,0.7428172713840092,0.09699230589881092,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.8530220331326563,3.7757162242364393,0.020474475385620527,True
M1,4307,195,False,4289,45.44210871950462,41.65008046607022,31.97900566648169,22.539788500868053,19.575508441188617,74.66968078886853,0.5679013265762408,0.7199556723033984,0.10095593378409885,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.86709907765877,3.7757162242364393,0.024202786437111268,True
M1,4307,232,True,4289,46.240668756524904,41.96331611941292,31.806381744680163,23.699017218355984,19.92063122852567,67.12008418755116,0.52023401401103,0.6877770481037596,0.10235486127302401,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.854794717815577,3.7757162242364393,0.020943971655372318,True
M1,4307,39,False,4289,44.60686851328189,41.11752681693575,30.305228617908988,21.01728841265095,18.799329095213352,74.83337880500449,0.58504248025041,0.7509440157609588,0.09349498717649801,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.826054658947634,3.7757162242364393,0.013332155204904161,True
M1,4307,78,False,4289,44.60521162207826,40.77354435258489,30.16175408116047,21.375930739480246,18.32694790511726,73.57446310948279,0.5601654493963333,0.7410934165161714,0.09396129633947307,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.8706491512109737,3.7757162242364393,0.025143024882314347,True
M2,1701,117,False,4289,44.964398004600746,40.70519109418528,29.87744616288642,21.79862630423844,18.237540067230967,75.72202517831391,0.5972499627366225,0.7482761451321622,0.09652599673583585,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.7302910217486236,3.687911497679421,0.011491469927049414,True
M2,1701,156,False,4289,46.10423230160169,41.521256738052124,31.10130175212137,22.951806739016774,18.86698967460539,71.95307323537436,0.5626546430168431,0.7272204892464291,0.09769176964327349,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.7265909296480175,3.687911497679421,0.01048816708126954,True
M2,1701,195,False,4289,45.97178234888839,41.57833634035184,31.024382297356436,22.740802276720977,19.01657385701354,72.31944498577386,0.5565285437472053,0.7149482843539648,0.0960596875728608,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.722629415684749,3.687911497679421,0.009413978081408425,True
M2,1701,232,False,4289,46.1402982839906,41.666682824676975,30.609126069167917,22.592805938004673,19.119370746906213,73.0482909147601,0.5613578774780146,0.727343621736989,0.10095593378409885,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.72002813152532,3.687911497679421,0.008708623801332527,True
M2,1701,39,False,4289,44.74979649419309,41.52269386094588,32.35902495498803,22.118602841686148,19.572867700106308,72.34283041665043,0.5663139066925026,0.7316122147430635,0.09186290510608533,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.718965909882254,3.687911497679421,0.008420595836525324,True
M2,1701,78,True,4289,45.41374492706674,41.72801121042136,31.362529464545077,21.433926965758836,18.382597833952424,76.43917839186187,0.5920479952302877,0.7581267443769496,0.09629284215434833,nrefs:1|case:mixed|eff:yes|nc:6|nw:2|space:no|version:2.6.0,nrefs:1|case:mixed|eff:yes|tok:none|smooth:exp|version:2.6.0,nrefs:1|case:lc|tok:tercom|norm:yes|punct:yes|asian:yes|version:2.6.0,3.7310004212333,3.687911497679421,0.011683827982583717,True
