variant,true,predicted,rate
M1,STD,RAJ,0.0010365763364430624
M1,STD,RAN,0.007256034355101436
M1,STD,STD,0.9329187027987561
M1,STD,SYL,0.011698504368428847
M1,STD,TAN,0.007996446023989337
M1,SYL,BAR,0.006633499170812604
M1,SYL,CHI,0.010424070125562663
M1,SYL,KHU,0.0002369106846718787
M1,SYL,KIS,0.012082444918265814
M1,SYL,MYM,0.012319355602937692
M1,SYL,NAR,0.007818052594171997
M1,SYL,NOA,0.004738213693437574
M1,SYL,NSD,0.008054963278843875
M1,SYL,RAJ,0.0002369106846718787
M1,SYL,RAN,0.005212035062781332
M1,SYL,STD,0.02392797915185975
M1,SYL,SYL,0.9040511727078892
M1,SYL,TAN,0.0042643923240938165
M1,TAN,BAR,0.015414258188824663
M1,TAN,CHI,0.014129736673089274
M1,TAN,KHU,0.005138086062941554
M1,TAN,KIS,0.046885035324341684
M1,TAN,MYM,0.013487475915221578
M1,TAN,NAR,0.07385998715478485
M1,TAN,NOA,0.011560693641618497
M1,TAN,NSD,0.05459216441875401
M1,TAN,RAJ,0.0006422607578676942
M1,TAN,RAN,0.03403982016698779
M1,TAN,STD,0.047527296082209375
M1,TAN,SYL,0.012845215157353885
M1,TAN,TAN,0.6698779704560051
M2,BAR,BAR,0.8547215496368039
M2,BAR,CHI,0.012106537530266344
M2,BAR,KHU,0.012106537530266344
M2,BAR,KIS,0.004842615012106538
M2,BAR,MYM,0.01694915254237288
M2,BAR,NAR,0.024213075060532687
M2,BAR,NOA,0.012106537530266344
M2,BAR,NSD,0.009685230024213076
M2,BAR,RAJ,0.004842615012106538
M2,BAR,RAN,0.012106537530266344
M2,BAR,STD,0.014527845036319613
M2,BAR,SYL,0.009685230024213076
M2,BAR,TAN,0.012106537530266344
M2,CHI,BAR,0.0015067805123053742
M2,CHI,CHI,0.9512807634354595
M2,CHI,KHU,0.0020090406830738324
M2,CHI,KIS,0.011049723756906077
M2,CHI,MYM,0.0
M2,CHI,NAR,0.005022601707684581
