candidate_id,dialect,rows,tokens,characters,bytes,unk_tokens,tokens_per_character,tokens_per_byte,mean_fertility,p95_tokens,roundtrip_exact_rate,canonical_roundtrip_exact_rate
wordpiece_balanced_16k,KIS,797.0,5203.0,21574.0,57984.0,0.0,0.24116992676369703,0.08973165011037527,1.2810041969900936,14.0,1.0,1.0
wordpiece_balanced_16k,MYM,333.0,2105.0,9921.0,26631.0,0.0,0.21217619191613749,0.07904322030716082,1.1593970510637177,11.0,0.8078078078078078,0.996996996996997
wordpiece_balanced_16k,NAR,945.0,6857.0,28545.0,76241.0,0.0,0.24021720091084253,0.0899384845424378,1.2517001091336073,15.0,0.9259259259259259,1.0
wordpiece_balanced_16k,NOA,265.0,1830.0,7717.0,20667.0,0.0,0.23713878450174938,0.08854695892001742,1.2723046659839112,11.0,0.8113207547169812,1.0
wordpiece_balanced_16k,NSD,576.0,4486.0,19520.0,52376.0,0.0,0.2298155737704918,0.08564991599205743,1.256503104145604,17.25,1.0,1.0
wordpiece_balanced_16k,RAJ,91.0,618.0,2671.0,7227.0,0.0,0.23137401722201423,0.08551266085512661,1.2918624415877162,12.5,1.0,1.0
wordpiece_balanced_16k,RAN,767.0,5418.0,22124.0,59010.0,0.0,0.2448924245163623,0.09181494661921709,1.2498100041022984,16.0,0.8904823989569752,1.0
wordpiece_balanced_16k,STD,126.0,817.0,3783.0,10159.0,0.0,0.21596616441977268,0.08042130130918397,1.1453277102086623,11.0,1.0,1.0
wordpiece_balanced_16k,SYL,1984.0,15819.0,61976.0,166836.0,0.0,0.2552439654059636,0.09481766525210386,1.5359854806211695,19.0,0.3941532258064516,0.9904233870967742
wordpiece_balanced_16k,TAN,519.0,3749.0,16576.0,44392.0,0.0,0.22617036679536678,0.08445215354117859,1.180775859051389,16.0,1.0,1.0
wordpiece_balanced_24k,BAR,739.0,4504.0,21239.0,57032.0,1.0,0.21206271481708178,0.07897320802356572,1.1569974642708065,10.0,0.7388362652232747,0.9972936400541272
wordpiece_balanced_24k,CHI,3553.0,29546.0,124460.0,333974.0,0.0,0.23739354009320263,0.08846796457209244,1.3299759197704266,18.0,0.537573881227132,0.9946524064171123
wordpiece_balanced_24k,KHU,158.0,920.0,3841.0,10237.0,0.0,0.23952095808383234,0.08987007912474358,1.2298322282499496,10.0,0.569620253164557,1.0
wordpiece_balanced_24k,KIS,797.0,4952.0,21574.0,57984.0,0.0,0.2295355520533976,0.0854028697571744,1.2110250391187072,14.0,1.0,1.0
wordpiece_balanced_24k,MYM,333.0,2045.0,9921.0,26631.0,0.0,0.20612841447434735,0.07679020690173106,1.1255528588861923,10.0,0.8078078078078078,0.996996996996997
wordpiece_balanced_24k,NAR,945.0,6638.0,28545.0,76241.0,0.0,0.23254510422140479,0.08706601434923467,1.2065143967930974,15.0,0.9259259259259259,1.0
