path,category,extension,bytes,human_size,modified,inode,hardlink_count,documentation_preservation
configs/tokenizer_screen.yaml,configuration,.yaml,551,551.00 B,2026-07-19T23:52:48.123784+09:00,26215134,1,copied_to_evidence_snapshot
configs/upcycling_strategy_selection.yaml,configuration,.yaml,1030,1.01 KiB,2026-07-20T10:07:10.452941+09:00,26215685,1,copied_to_evidence_snapshot
data/external/processed/huggingface/hf_bengali_regional_asr_refine/transcripts_text_only.parquet,data,.parquet,1854103,1.77 MiB,2026-07-19T23:19:39.917659+09:00,26215027,1,indexed_only_not_preserved
data/external/raw/huggingface/hf_bengali_regional_asr_refine/snapshot_metadata.json,data,.json,12747,12.45 KiB,2026-07-19T23:19:39.924616+09:00,26215028,1,indexed_only_not_preserved
data/external/raw/huggingface/hf_chittagonian_vulgar_lexicon/Vulgar Word.csv,data,.csv,22882,22.35 KiB,2026-07-19T22:57:27.912966+09:00,26215030,1,indexed_only_not_preserved
data/external/raw/huggingface/hf_chittagonian_vulgar_lexicon/snapshot_metadata.json,data,.json,2400,2.34 KiB,2026-07-19T23:19:40.217808+09:00,26215031,1,indexed_only_not_preserved
data/external/raw/mendeley/bangladial_v2/BanglaDial A Merged and Imbalanced text Dataset for Bengali Regional dialect analysis..csv,data,.csv,5637352,5.38 MiB,2026-07-19T22:56:13.177867+09:00,26214456,1,indexed_only_not_preserved
data/external/raw/mendeley/bangladial_v2/snapshot_metadata.json,data,.json,8574,8.37 KiB,2026-07-19T23:19:07.635827+09:00,26214457,1,indexed_only_not_preserved
data/external/raw/mendeley/bd_dialect_v2/BD-Dialect 02.zip,data,.zip,113076938,107.84 MiB,2026-07-19T22:55:58.337825+09:00,26214450,1,indexed_only_not_preserved
data/external/raw/mendeley/bd_dialect_v2/snapshot_metadata.json,data,.json,8219,8.03 KiB,2026-07-19T23:19:05.317682+09:00,26214451,1,indexed_only_not_preserved
data/external/raw/mendeley/bhasabodh_v1/BhashaBodh.csv,data,.csv,232991,227.53 KiB,2026-07-19T22:56:27.410901+09:00,26215001,1,indexed_only_not_preserved
data/external/raw/mendeley/bhasabodh_v1/snapshot_metadata.json,data,.json,5974,5.83 KiB,2026-07-19T23:19:10.273005+09:00,26215002,1,indexed_only_not_preserved
data/external/raw/mendeley/chatgaiyyaalap_v1_metadata/snapshot_metadata.json,data,.json,7308,7.14 KiB,2026-07-19T23:19:11.922621+09:00,26215019,1,indexed_only_not_preserved
"data/external/raw/mendeley/chattogramsent_v2/ChattogramSent _ A Multilingual Sentiment Dataset for the Chattogram Dialect, Standard Bengali, and English full.csv",data,.csv,1356402,1.29 MiB,2026-07-19T22:56:24.014893+09:00,26214998,1,indexed_only_not_preserved
data/external/raw/mendeley/chattogramsent_v2/snapshot_metadata.json,data,.json,12989,12.68 KiB,2026-07-19T23:19:09.353900+09:00,26214999,1,indexed_only_not_preserved
data/external/raw/mendeley/kothon_v4/Chittagonian_Sylheti_dataset.zip,data,.zip,1878888,1.79 MiB,2026-07-19T22:53:07.482692+09:00,26214446,1,indexed_only_not_preserved
data/external/raw/mendeley/kothon_v4/snapshot_metadata.json,data,.json,9109,8.90 KiB,2026-07-19T23:19:03.619592+09:00,26214448,1,indexed_only_not_preserved
data/external/raw/mendeley/onubad_v2/ONUBAD Dataset.zip,data,.zip,164543,160.69 KiB,2026-07-19T22:56:16.332875+09:00,26214459,1,indexed_only_not_preserved
data/external/raw/mendeley/onubad_v2/snapshot_metadata.json,data,.json,8242,8.05 KiB,2026-07-19T23:19:08.422308+09:00,26214995,1,indexed_only_not_preserved
data/external/raw/mendeley/regional_text_corpus_v4_metadata/snapshot_metadata.json,data,.json,6020,5.88 KiB,2026-07-19T23:19:12.739636+09:00,26215021,1,indexed_only_not_preserved
